true_index,Sales
7,0.0
19,3594.28
31,6481.44
45,4065.71
56,3841.9
57,6302.41
61,4954.53
63,6685.64
79,5801.06
81,9429.6
84,3269.71
86,6478.47
90,4628.85
96,5835.92
105,0.0
108,5903.64
124,15100.29
126,6713.09
133,6848.45
146,6426.69
151,0.0
160,8239.36
164,7023.61
167,11092.95
190,0.0
194,7274.25
206,12077.2
214,0.0
217,6264.54
220,9749.83
221,6519.83
225,6955.08
226,4834.88
232,8241.6
250,5955.06
264,6451.1
269,7288.5
271,7443.82
280,7319.67
281,0.0
284,5033.16
302,8796.45
323,6228.73
327,0.0
336,4831.44
351,4711.75
377,5361.64
382,4119.8
388,7133.86
392,0.0
402,0.0
408,6256.0
427,6680.0
466,0.0
469,0.0
472,0.0
477,0.0
508,6760.24
513,11765.18
516,7275.88
530,5170.64
558,3261.17
576,13930.1
588,7182.6
595,6726.5
600,5290.17
601,8323.4
609,5094.53
612,5276.2
615,6144.8
625,4940.0
632,0.0
645,5743.0
666,6597.06
668,6083.56
672,10055.21
699,17943.73
717,5417.43
737,5480.25
744,7673.56
747,16116.76
764,7730.78
775,7133.86
788,0.0
795,8389.08
802,8737.53
811,10925.08
840,10425.91
849,12583.6
859,7014.62
871,0.0
872,15756.0
881,4734.43
883,7303.67
890,6090.24
896,6808.6
902,0.0
905,8010.9
921,8009.85
967,9602.73
973,5556.2
1001,3484.27
1016,0.0
1021,10395.0
1026,5940.5
1030,5722.45
1044,4729.11
1063,11312.38
1067,8532.0
1075,10098.92
1086,0.0
1097,5797.46
1117,10477.43
1122,4971.8
1125,7829.4
1129,6362.25
1141,5665.7
1149,0.0
1151,5194.06
1159,6008.42
1173,6091.53
1184,0.0
1193,5319.69
1241,5249.5
1249,0.0
1250,6463.7
1261,0.0
1273,7034.91
1282,0.0
1296,7610.82
1309,2246.8
1332,5509.64
1336,6247.27
1357,5418.93
1372,6076.18
1374,6053.08
1378,9674.62
1379,4481.08
1384,8850.1
1394,5573.55
1398,2558.94
1399,4048.0
1403,7228.17
1409,10673.4
1424,4140.35
1430,6730.0
1432,4551.1
1448,4926.0
1451,10991.3
1452,8165.09
1467,0.0
1470,4791.94
1481,9725.47
1523,3728.38
1527,4935.46
1546,4544.18
1547,14437.07
1567,3826.08
1592,9446.58
1597,12191.54
1601,0.0
1603,9533.85
1640,4936.8
1646,0.0
1651,0.0
1652,11447.9
1670,0.0
1677,0.0
1691,5923.54
1704,2012.09
1707,9659.71
1718,6011.88
1721,6612.9
1733,0.0
1737,8762.58
1748,4926.25
1776,6060.91
1804,8684.64
1821,8149.08
1839,3821.71
1845,6748.22
1853,5633.71
1888,4604.55
1895,5704.81
1899,6514.31
